Folder,Time,Avg Voltage,Avg Current,Heat input,Travel Speed,Wire Feed Rate,label
Test41_140A_25TS_180WFR,0.12,15.894,135.75,8.630442,25,180,Lack of fusion
Test41_140A_25TS_180WFR,0.22,15.326,136.48,8.36676992,25,180,Lack of fusion
Test41_140A_25TS_180WFR,0.32,15.033,136.72,8.22124704,25,180,Ball
Test41_140A_25TS_180WFR,0.42,14.905,136.85,8.158997,25,180,Ball
Test41_140A_25TS_180WFR,0.52,14.869,136.97,8.14642772,25,180,Ball
Test41_140A_25TS_180WFR,0.62,14.85,136.97,8.136018,25,180,Ball
Test41_140A_25TS_180WFR,0.72,14.795,136.97,8.1058846,25,180,Ball
Test41_140A_25TS_180WFR,0.82,14.649,137.09,8.03292564,25,180,Ball
Test41_140A_25TS_180WFR,0.92,14.356,137.21,7.87914704,25,180,Ball
Test41_140A_25TS_180WFR,1.02,14.008,137.21,7.68815072,25,180,Ball
Test41_140A_25TS_180WFR,1.12,13.77,137.21,7.5575268,25,180,Ball
Test41_140A_25TS_180WFR,1.22,13.642,137.21,7.48727528,25,180,Ball
Test41_140A_25TS_180WFR,1.32,13.623,137.21,7.47684732,25,180,Ball
Test41_140A_25TS_180WFR,1.42,13.605,137.21,7.4669682,25,180,Ball
Test41_140A_25TS_180WFR,1.52,13.587,137.21,7.45708908,25,180,Ball
Test41_140A_25TS_180WFR,1.62,13.605,137.21,7.4669682,25,180,Ball
Test41_140A_25TS_180WFR,1.72,13.715,137.33,7.5339238,25,180,Ball
Test41_140A_25TS_180WFR,1.82,13.807,137.33,7.58446124,25,180,Lack of fusion
Test41_140A_25TS_180WFR,1.92,13.825,137.33,7.594349,25,180,Lack of fusion
Test41_140A_25TS_180WFR,2.02,13.807,137.33,7.58446124,25,180,Lack of fusion
Test41_140A_25TS_180WFR,2.12,13.77,137.33,7.5641364,25,180,Lack of fusion
Test41_140A_25TS_180WFR,2.22,13.788,137.33,7.57402416,25,180,Lack of fusion
Test41_140A_25TS_180WFR,2.32,13.843,137.33,7.60423676,25,180,Lack of fusion
Test41_140A_25TS_180WFR,2.42,13.898,137.33,7.63444936,25,180,Lack of fusion
Test41_140A_25TS_180WFR,2.52,13.953,137.21,7.65796452,25,180,Lack of fusion
Test41_140A_25TS_180WFR,2.62,14.063,137.21,7.71833692,25,180,Bead Cut
Test41_140A_25TS_180WFR,2.72,14.063,137.21,7.71833692,25,180,No bead
Test41_140A_25TS_180WFR,2.82,13.99,137.33,7.6849868,25,180,Lack of fusion
Test41_140A_25TS_180WFR,2.92,13.843,137.33,7.60423676,25,180,Ball
Test41_140A_25TS_180WFR,3.02,13.733,137.33,7.54381156,25,180,Ball
Test41_140A_25TS_180WFR,3.12,13.66,137.33,7.5037112,25,180,Ball
Test41_140A_25TS_180WFR,3.22,13.66,137.33,7.5037112,25,180,Ball
Test41_140A_25TS_180WFR,3.32,13.678,137.33,7.51359896,25,180,Ball
Test41_140A_25TS_180WFR,3.42,13.66,137.33,7.5037112,25,180,Ball
Test41_140A_25TS_180WFR,3.52,13.623,137.33,7.48338636,25,180,Ball
Test41_140A_25TS_180WFR,3.62,13.587,137.33,7.46361084,25,180,Ball
Test41_140A_25TS_180WFR,3.72,13.733,137.21,7.53721972,25,180,Lack of fusion
Test41_140A_25TS_180WFR,3.82,13.935,137.21,7.6480854,25,180,Bead Cut
Test41_140A_25TS_180WFR,3.92,14.063,137.33,7.72508716,25,180,Humping
Test41_140A_25TS_180WFR,4.02,13.825,137.33,7.594349,25,180,Humping
Test41_140A_25TS_180WFR,4.12,13.99,137.33,7.6849868,25,180,Humping
Test41_140A_25TS_180WFR,4.22,14.081,137.33,7.73497492,25,180,Bead Cut
Test41_140A_25TS_180WFR,4.32,14.338,137.33,7.87615016,25,180,Bead Cut
Test41_140A_25TS_180WFR,4.42,14.1,137.33,7.745412,25,180,Humping
Test41_140A_25TS_180WFR,4.52,13.843,137.33,7.60423676,25,180,Balling
Test41_140A_25TS_180WFR,4.62,13.88,137.33,7.6245616,25,180,Humping
Test41_140A_25TS_180WFR,4.72,14.173,137.33,7.78551236,25,180,Humping
Test41_140A_25TS_180WFR,4.82,14.191,137.33,7.79540012,25,180,Humping
Test41_140A_25TS_180WFR,4.92,14.246,137.21,7.81877464,25,180,Bead Cut
Test41_140A_25TS_180WFR,5.02,14.411,137.21,7.90933324,25,180,Bead Cut
Test41_140A_25TS_180WFR,5.12,14.319,137.21,7.85883996,25,180,Bead Cut
Test41_140A_25TS_180WFR,5.22,14.118,137.21,7.74852312,25,180,Lack of fusion
Test41_140A_25TS_180WFR,5.32,14.154,137.21,7.76828136,25,180,Lack of fusion
Test41_140A_25TS_180WFR,5.42,14.594,137.09,8.00276584,25,180,Lack of fusion
Test41_140A_25TS_180WFR,5.52,14.338,137.09,7.86238568,25,180,Lack of fusion
Test41_140A_25TS_180WFR,5.62,14.191,137.21,7.78858844,25,180,Lack of fusion
Test41_140A_25TS_180WFR,5.72,14.356,137.09,7.87225616,25,180,Lack of fusion
Test41_140A_25TS_180WFR,5.82,14.557,137.09,7.98247652,25,180,Lack of fusion
Test41_140A_25TS_180WFR,5.92,14.557,137.09,7.98247652,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.02,14.521,137.09,7.96273556,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.12,14.356,137.21,7.87914704,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.22,14.154,137.21,7.76828136,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.32,13.88,137.21,7.6178992,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.42,13.916,137.21,7.63765744,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.52,13.825,137.21,7.587713,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.62,13.825,137.33,7.594349,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.72,13.807,137.33,7.58446124,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.82,13.733,137.33,7.54381156,25,180,Lack of fusion
Test41_140A_25TS_180WFR,6.92,13.733,137.33,7.54381156,25,180,Humping
Test41_140A_25TS_180WFR,7.02,13.678,137.33,7.51359896,25,180,Humping
Test41_140A_25TS_180WFR,7.12,13.642,137.33,7.49382344,25,180,Bead Cut
Test41_140A_25TS_180WFR,7.22,13.569,137.33,7.45372308,25,180,Humping
Test41_140A_25TS_180WFR,7.32,13.605,137.33,7.4734986,25,180,Humping
Test41_140A_25TS_180WFR,7.42,13.569,137.33,7.45372308,25,180,Humping
Test41_140A_25TS_180WFR,7.52,13.55,137.33,7.443286,25,180,Bead Cut
Test41_140A_25TS_180WFR,7.62,13.532,137.33,7.43339824,25,180,Lack of fusion
Test41_140A_25TS_180WFR,7.72,13.55,137.33,7.443286,25,180,Humping
Test41_140A_25TS_180WFR,7.82,13.55,137.33,7.443286,25,180,Humping
Test41_140A_25TS_180WFR,7.92,13.55,137.33,7.443286,25,180,Humping
Test41_140A_25TS_180WFR,8.02,13.495,137.33,7.4130734,25,180,Humping
Test41_140A_25TS_180WFR,8.12,13.532,137.33,7.43339824,25,180,Lack of fusion
Test41_140A_25TS_180WFR,8.22,13.55,137.33,7.443286,25,180,Humping
Test41_140A_25TS_180WFR,8.32,13.605,137.33,7.4734986,25,180,Bead Cut
Test41_140A_25TS_180WFR,8.42,13.605,137.33,7.4734986,25,180,Humping
Test41_140A_25TS_180WFR,8.52,13.66,137.33,7.5037112,25,180,Humping
Test41_140A_25TS_180WFR,8.62,13.66,137.33,7.5037112,25,180,Humping
Test41_140A_25TS_180WFR,8.72,13.66,137.33,7.5037112,25,180,Bead Cut
Test41_140A_25TS_180WFR,8.82,13.66,137.33,7.5037112,25,180,Bead Cut
Test41_140A_25TS_180WFR,8.92,13.642,137.33,7.49382344,25,180,Bead Cut
Test41_140A_25TS_180WFR,9.02,13.642,137.33,7.49382344,25,180,Bead Cut
Test41_140A_25TS_180WFR,9.12,13.623,137.33,7.48338636,25,180,Humping
Test41_140A_25TS_180WFR,9.22,13.623,137.33,7.48338636,25,180,Bead Cut
Test41_140A_25TS_180WFR,9.32,13.587,137.33,7.46361084,25,180,Bead Cut
Test41_140A_25TS_180WFR,9.42,13.569,137.33,7.45372308,25,180,Lack of fusion
Test41_140A_25TS_180WFR,9.52,13.605,137.21,7.4669682,25,180,Lack of fusion
Test41_140A_25TS_180WFR,9.62,13.587,137.33,7.46361084,25,180,Lack of fusion
Test41_140A_25TS_180WFR,9.72,13.587,137.33,7.46361084,25,180,Bead Cut
Test41_140A_25TS_180WFR,9.82,13.587,137.33,7.46361084,25,180,Lack of fusion
Test41_140A_25TS_180WFR,9.92,13.642,137.33,7.49382344,25,180,Lack of fusion
Test41_140A_25TS_180WFR,10.02,13.642,137.33,7.49382344,25,180,Lack of fusion
Test41_140A_25TS_180WFR,10.12,13.623,137.33,7.48338636,25,180,Bead Cut
Test41_140A_25TS_180WFR,10.22,13.587,137.33,7.46361084,25,180,Lack of fusion
Test41_140A_25TS_180WFR,10.32,13.532,137.33,7.43339824,25,180,Humping
Test41_140A_25TS_180WFR,10.42,13.55,137.33,7.443286,25,180,Humping
Test41_140A_25TS_180WFR,10.52,13.532,137.33,7.43339824,25,180,Bead Cut
Test41_140A_25TS_180WFR,10.62,13.514,137.33,7.42351048,25,180,Lack of fusion
Test41_140A_25TS_180WFR,10.72,13.495,137.21,7.4065958,25,180,Balling
Test41_140A_25TS_180WFR,10.82,13.459,137.21,7.38683756,25,180,Humping
Test41_140A_25TS_180WFR,10.92,13.44,137.21,7.3764096,25,180,Humping
