Folder,Time,Avg Voltage,Avg Current,Heat input,Travel Speed,Wire Feed Rate
Test1_160A_20TS_160WFR,0.12,16.663,144.41,12.03151915,20,160
Test1_160A_20TS_160WFR,0.22,16.37,151.86,12.429741000000002,20,160
Test1_160A_20TS_160WFR,0.32,16.169,155.03,12.53340035,20,160
Test1_160A_20TS_160WFR,0.42,16.041,156.25,12.53203125,20,160
Test1_160A_20TS_160WFR,0.52,15.949,156.62,12.489661900000002,20,160
Test1_160A_20TS_160WFR,0.62,15.894,156.62,12.4465914,20,160
Test1_160A_20TS_160WFR,0.72,15.748,156.38,12.3133612,20,160
Test1_160A_20TS_160WFR,0.82,15.51,156.25,12.1171875,20,160
Test1_160A_20TS_160WFR,0.92,15.253,156.38,11.926320699999998,20,160
Test1_160A_20TS_160WFR,1.02,15.107,156.38,11.8121633,20,160
Test1_160A_20TS_160WFR,1.12,15.015,156.38,11.7402285,20,160
Test1_160A_20TS_160WFR,1.22,14.924,156.38,11.6690756,20,160
Test1_160A_20TS_160WFR,1.32,14.777,156.5,11.5630025,20,160
Test1_160A_20TS_160WFR,1.42,14.667,156.5,11.4769275,20,160
Test1_160A_20TS_160WFR,1.52,14.557,156.5,11.3908525,20,160
Test1_160A_20TS_160WFR,1.62,14.466,156.62,11.3283246,20,160
Test1_160A_20TS_160WFR,1.72,14.393,156.62,11.271158300000002,20,160
Test1_160A_20TS_160WFR,1.82,14.356,156.62,11.2421836,20,160
Test1_160A_20TS_160WFR,1.92,14.338,156.62,11.2280878,20,160
Test1_160A_20TS_160WFR,2.02,14.338,156.62,11.2280878,20,160
Test1_160A_20TS_160WFR,2.12,14.319,156.62,11.2132089,20,160
Test1_160A_20TS_160WFR,2.22,14.283,156.62,11.1850173,20,160
Test1_160A_20TS_160WFR,2.32,14.264,156.62,11.1701384,20,160
Test1_160A_20TS_160WFR,2.42,14.264,156.74,11.1786968,20,160
Test1_160A_20TS_160WFR,2.52,14.264,156.74,11.1786968,20,160
Test1_160A_20TS_160WFR,2.62,14.283,156.74,11.1935871,20,160
Test1_160A_20TS_160WFR,2.72,14.301,156.62,11.1991131,20,160
Test1_160A_20TS_160WFR,2.82,14.319,156.62,11.2132089,20,160
Test1_160A_20TS_160WFR,2.92,14.484,156.62,11.342420400000002,20,160
Test1_160A_20TS_160WFR,3.02,14.686,156.62,11.5006066,20,160
